Id,Category
1,0
2,0
3,0
4,0
5,1
6,1
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,1
17,1
18,0
19,1
20,1
21,0
22,0
23,0
24,1
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,1
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,1
56,1
57,0
58,0
59,1
60,0
61,1
62,1
63,0
64,0
65,0
66,1
67,1
68,0
69,0
70,0
71,0
72,1
73,0
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,0
88,1
89,0
90,1
91,1
92,0
93,1
94,0
95,1
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,0
104,1
105,0
106,1
107,0
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,1
116,0
117,1
118,0
119,1
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,1
135,0
136,1
137,0
138,0
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,1
148,1
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,0
166,0
167,1
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,1
179,1
180,0
181,0
182,1
183,1
184,1
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,1
196,0
197,1
198,0
199,1
200,0
201,1
202,0
203,1
204,1
205,0
206,0
207,0
208,1
209,0
210,0
211,1
212,1
213,0
214,0
215,1
216,0
217,0
218,0
219,1
220,1
221,1
222,0
223,1
224,0
225,0
226,0
227,1
228,0
229,0
230,0
231,0
232,0
233,1
234,0
235,0
236,0
237,0
238,1
239,1
240,0
241,1
242,1
243,0
244,0
245,0
246,1
247,0
248,0
249,1
250,0
251,1
252,0
253,1
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,1
263,0
264,1
265,1
266,0
267,1
268,1
269,1
270,0
271,0
272,0
273,0
274,1
275,0
276,1
277,0
278,0
279,0
280,0
